province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2025,lowest_rank_2025,is_new,school_type,major_category,subject_requirement,plan_count_prev
广东,物理类,本科批,10001,北京大学,10001001,70301,化学,91,6000,669.0,28.0,0,985,理学,物理+化学+生物,58.0
广东,物理类,本科批,10001,北京大学,10001001,50261,翻译,21,6000,669.0,28.0,0,985,文学,物理+化学+生物,58.0
广东,物理类,本科批,10001,北京大学,10001001,80202,机械设计制造及其自动化,41,7500,669.0,28.0,0,985,工学,物理+化学,58.0
广东,历史类,本科批,10001,北京大学,10001001,120102,信息管理与信息系统,57,6500,669.0,28.0,0,985,管理学,历史+政治+地理,58.0
广东,历史类,本科批,10001,北京大学,10001001,20101,经济学,28,6000,669.0,28.0,0,985,经济学,历史+地理+生物,58.0
广东,历史类,本科批,10001,北京大学,10001001,40101,教育学,40,5500,669.0,28.0,0,985,教育学,历史+不限,58.0
河南,物理类,本科批,10001,北京大学,10001001,40106,学前教育,22,5000,626.0,,0,985,教育学,物理+不限,0.0
河南,物理类,本科批,10001,北京大学,10001001,100501,中医学,24,8000,626.0,,0,985,医学,物理+化学+生物,0.0
河南,物理类,本科批,10001,北京大学,10001001,82701,食品科学与工程,58,5000,626.0,,0,985,农学,物理+化学,0.0
河南,物理类,本科批,10001,北京大学,10001002,50201,英语,46,4000,626.0,,0,985,文学,物理+化学,0.0
河南,物理类,提前批,10001,北京大学,10001002,100201,临床医学,73,6000,626.0,,0,985,医学,物理+化学+生物,0.0
河南,物理类,本科批,10001,北京大学,10001002,70201,物理学,37,5500,626.0,,0,985,理学,物理+不限,0.0
河南,物理类,本科批,10001,北京大学,10001002,80907,集成电路设计与集成系统,24,5500,626.0,,0,985,工学,物理+化学,0.0
河南,物理类,本科批,10001,北京大学,10001003,81002,建筑环境与能源应用工程,87,5500,626.0,,0,985,工学,物理+化学+地理,0.0
河南,物理类,提前批,10001,北京大学,10001003,50101,汉语言文学,44,5000,626.0,,0,985,文学,物理+不限,0.0
河南,物理类,本科批,10001,北京大学,10001003,90101,农学,55,4500,626.0,,0,985,农学,物理+不限,0.0
河南,物理类,本科批,10001,北京大学,10001003,70301,化学,62,5500,626.0,,0,985,理学,物理+化学+生物,0.0
河南,物理类,本科批,10001,北京大学,10001003,71201,统计学,75,7000,626.0,,0,985,理学,物理+化学+生物,0.0
河南,物理类,本科批,10001,北京大学,10001003,80601,电气工程及其自动化,91,5000,626.0,,0,985,工学,物理+化学,0.0
河南,历史类,本科批,10001,北京大学,10001001,130401,美术学,74,11000,626.0,,0,985,艺术学,历史+不限,0.0
河南,历史类,本科批,10001,北京大学,10001002,120201,工商管理,70,5500,626.0,,0,985,管理学,历史+政治+地理,0.0
山东,物理类,本科批,10001,北京大学,10001001,100701,药学,94,7500,626.0,,0,985,医学,物理+化学+生物,0.0
山东,物理类,本科批,10001,北京大学,10001001,80901,计算机科学与技术,41,7000,626.0,,0,985,工学,物理+化学,0.0
山东,物理类,提前批,10001,北京大学,10001001,80902,软件工程,36,6000,626.0,,0,985,工学,物理+化学,0.0
山东,物理类,本科批,10001,北京大学,10001001,120201,工商管理,22,6500,626.0,,0,985,管理学,物理+化学,0.0
山东,物理类,本科批,10001,北京大学,10001001,80910,数据科学与大数据技术,72,7000,626.0,,0,985,工学,物理+化学,0.0
山东,物理类,本科批,10001,北京大学,10001001,90102,园艺,73,4000,626.0,,0,985,农学,物理+化学+生物,0.0
山东,物理类,本科批,10001,北京大学,10001002,71201,统计学,44,5000,626.0,,0,985,理学,物理+不限,0.0
山东,物理类,本科批,10001,北京大学,10001002,120102,信息管理与信息系统,40,5500,626.0,,0,985,管理学,物理+化学,0.0
山东,物理类,本科批,10001,北京大学,10001002,83001,生物工程,51,7500,626.0,,0,985,工学,物理+化学+生物,0.0
山东,物理类,本科批,10001,北京大学,10001002,80202,机械设计制造及其自动化,90,5000,626.0,,0,985,工学,物理+化学,0.0
山东,物理类,本科批,10001,北京大学,10001002,40106,学前教育（中外合作办学）,90,28000,626.0,,0,985,教育学,物理+化学+生物,0.0
山东,物理类,本科批,10001,北京大学,10001002,50261,翻译,76,5000,626.0,,0,985,文学,物理+化学+生物,0.0
山东,物理类,本科批,10001,北京大学,10001002,101101,护理学,54,8500,626.0,,0,985,医学,物理+化学+生物,0.0
四川,物理类,本科批,10001,北京大学,10001001,101101,护理学,31,6000,626.0,,0,985,医学,物理+化学+生物,0.0
四川,物理类,本科批,10001,北京大学,10001001,100201,临床医学,40,9000,626.0,,0,985,医学,物理+化学+生物,0.0
四川,物理类,本科批,10001,北京大学,10001001,71201,统计学,43,6500,626.0,,0,985,理学,物理+化学,0.0
四川,物理类,本科批,10001,北京大学,10001001,90401,动物医学,89,4500,626.0,,0,985,农学,物理+化学+生物,0.0
四川,物理类,本科批,10001,北京大学,10001001,40101,教育学,48,4000,626.0,,0,985,教育学,物理+不限,0.0
四川,物理类,本科批,10001,北京大学,10001001,71001,生物科学,65,7000,626.0,,0,985,理学,物理+化学+生物,0.0
四川,历史类,提前批,10001,北京大学,10001001,30101,法学,65,6000,626.0,,0,985,法学,历史+地理+生物,0.0
四川,历史类,本科批,10001,北京大学,10001001,50201,英语,76,5500,626.0,,0,985,文学,历史+政治+生物,0.0
四川,历史类,本科批,10001,北京大学,10001001,120201,工商管理,31,4500,626.0,,0,985,管理学,历史+地理+生物,0.0
四川,历史类,本科批,10001,北京大学,10001001,50261,翻译,77,6000,626.0,,0,985,文学,历史+地理+生物,0.0
四川,历史类,本科批,10001,北京大学,10001002,50101,汉语言文学,48,4000,626.0,,0,985,文学,历史+不限,0.0
